"classe_auditoria","arquivo_final","origem_tipo","url_origem","autor_original","licenca_original","uso_derivado","transformacao_ia","ferramenta_modelo","prompt_transformacao","data_transformacao","responsavel_transformacao","evidencia_local_transformacao","status_recomendado","justificativa"
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_001.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Araticum-do-brejo.jpg","Rapper Ouriço","CC-BY-SA 3.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_001.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_002.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Arvore_tipica_do_cerrado_de_tronco_torto_e_grossa_cortica.png","Lauro Sirgado","CC-BY-SA 3.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_002.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_003.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Almecegas_I_Cachoeira_em_Branco_e_Preto.png","Lauro Sirgado","CC-BY-SA 3.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_003.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_004.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Buriti,_no_estado_do_Tocantins..jpg","Leovigildo Santos","CC-BY-SA 3.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_004.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_005.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Brom%C3%A9lia_nativa_do_Tocantins..jpg","Leovigildo Santos","CC-BY-SA 3.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_005.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_006.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Beija_Flor_tesoura_verde.jpg","Fernando Fernandes da Silva","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_006.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_007.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Bacurau_(Hydropsalis_albicollis).jpg","Fernando Fernandes da Silva","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_007.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_008.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Barriguda.jpg","Isac rodrigues do nascimento","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_008.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_009.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Byrsonima_sp.jpg","Jean Fábio Torres Rodrigues","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_009.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_010.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Alto_para%C3%ADso_do_Goi%C3%A1s.jpg","Lucianomarcs","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_010.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
